Hand,win%,tie%,loss%
"3 of Diamonds, A of Diamonds",29.3,4.0,66.7
"4 of Diamonds, 5 of Diamonds",17.8,2.4,79.8
"4 of Diamonds, 6 of Diamonds",16.7,2.3,81.0
"4 of Diamonds, 7 of Diamonds",15.8,2.4,81.7
"4 of Diamonds, 8 of Diamonds",15.6,2.2,82.2
"4 of Diamonds, 9 of Diamonds",15.0,3.0,82.0
"4 of Diamonds, 10 of Diamonds",17.2,2.7,80.0
"4 of Diamonds, J of Diamonds",18.8,3.0,78.2
"4 of Diamonds, Q of Diamonds",21.0,3.4,75.6
"4 of Diamonds, K of Diamonds",23.8,3.4,72.8
"4 of Diamonds, A of Diamonds",29.6,4.6,65.8
"5 of Diamonds, 6 of Diamonds",18.0,2.5,79.6
"5 of Diamonds, 7 of Diamonds",16.4,2.9,80.7
"5 of Diamonds, 8 of Diamonds",16.4,2.5,81.1
"5 of Diamonds, 9 of Diamonds",16.2,2.6,81.2
"5 of Diamonds, 10 of Diamonds",16.7,2.9,80.3
"5 of Diamonds, J of Diamonds",18.4,3.2,78.3
"5 of Diamonds, Q of Diamonds",20.9,3.0,76.0
"5 of Diamonds, K of Diamonds",23.8,3.5,72.6
"5 of Diamonds, A of Diamonds",29.1,4.2,66.7
"6 of Diamonds, 7 of Diamonds",18.5,2.8,78.7
"6 of Diamonds, 8 of Diamonds",17.6,2.3,80.1
"6 of Diamonds, 9 of Diamonds",17.3,2.8,79.9
"6 of Diamonds, 10 of Diamonds",17.3,2.8,79.9
"6 of Diamonds, J of Diamonds",18.0,2.9,79.1
"6 of Diamonds, Q of Diamonds",19.7,3.1,77.2
"6 of Diamonds, K of Diamonds",24.1,3.6,72.3
"6 of Diamonds, A of Diamonds",29.1,4.2,66.7
"7 of Diamonds, 8 of Diamonds",19.5,2.7,77.8
"7 of Diamonds, 9 of Diamonds",19.6,2.5,77.9
"7 of Diamonds, 10 of Diamonds",18.9,2.9,78.2
"7 of Diamonds, J of Diamonds",19.5,2.8,77.7
"7 of Diamonds, Q of Diamonds",21.6,3.0,75.4
"7 of Diamonds, K of Diamonds",24.7,3.6,71.7
"7 of Diamonds, A of Diamonds",28.7,3.8,67.5
"8 of Diamonds, 9 of Diamonds",19.8,2.4,77.8
"8 of Diamonds, 10 of Diamonds",21.0,3.0,76.0
"8 of Diamonds, J of Diamonds",20.5,2.9,76.6
"8 of Diamonds, Q of Diamonds",22.9,2.7,74.4
"8 of Diamonds, K of Diamonds",24.8,3.2,72.0
"8 of Diamonds, A of Diamonds",29.9,3.5,66.6
