Hand,win%,tie%,loss%
"6 of Diamonds, Q of Diamonds",20.6,3.1,76.3
"6 of Diamonds, K of Diamonds",23.7,3.5,72.8
"6 of Diamonds, A of Diamonds",28.5,4.3,67.2
"7 of Diamonds, 2 of Diamonds",13.5,2.1,84.4
"7 of Diamonds, 3 of Diamonds",14.2,2.4,83.4
"7 of Diamonds, 4 of Diamonds",14.9,2.3,82.8
"7 of Diamonds, 5 of Diamonds",16.7,2.7,80.6
"7 of Diamonds, 6 of Diamonds",17.7,2.7,79.6
"7 of Diamonds, 8 of Diamonds",19.1,2.7,78.1
"7 of Diamonds, 9 of Diamonds",18.6,2.8,78.7
"7 of Diamonds, 10 of Diamonds",18.6,2.9,78.5
"7 of Diamonds, J of Diamonds",18.9,2.9,78.2
"7 of Diamonds, Q of Diamonds",20.6,3.0,76.3
"7 of Diamonds, K of Diamonds",24.2,3.3,72.5
"7 of Diamonds, A of Diamonds",29.8,3.9,66.3
"8 of Diamonds, 2 of Diamonds",14.1,2.5,83.4
"8 of Diamonds, 3 of Diamonds",13.8,2.2,83.9
"8 of Diamonds, 4 of Diamonds",15.3,2.2,82.4
"8 of Diamonds, 5 of Diamonds",16.2,2.6,81.2
"8 of Diamonds, 6 of Diamonds",18.1,2.6,79.3
"8 of Diamonds, 7 of Diamonds",18.2,2.8,79.0
"8 of Diamonds, 9 of Diamonds",20.6,2.7,76.7
"8 of Diamonds, 10 of Diamonds",20.3,2.8,76.9
"8 of Diamonds, J of Diamonds",21.1,2.8,76.2
"8 of Diamonds, Q of Diamonds",22.3,2.8,75.0
"8 of Diamonds, K of Diamonds",24.6,2.8,72.6
"8 of Diamonds, A of Diamonds",29.9,3.7,66.3
"9 of Diamonds, 2 of Diamonds",15.3,2.3,82.4
"9 of Diamonds, 3 of Diamonds",14.9,2.4,82.8
"9 of Diamonds, 4 of Diamonds",14.9,2.5,82.6
"9 of Diamonds, 5 of Diamonds",16.0,2.7,81.3
"9 of Diamonds, 6 of Diamonds",17.3,2.6,80.1
"9 of Diamonds, 7 of Diamonds",18.7,2.6,78.7
"9 of Diamonds, 8 of Diamonds",19.4,2.3,78.3
"9 of Diamonds, 10 of Diamonds",21.6,2.6,75.8
"9 of Diamonds, J of Diamonds",21.8,2.3,75.9
"9 of Diamonds, Q of Diamonds",23.8,2.8,73.4
"9 of Diamonds, K of Diamonds",25.8,3.0,71.1
"9 of Diamonds, A of Diamonds",29.8,3.3,66.9
"10 of Diamonds, 2 of Diamonds",15.6,2.5,81.9
"10 of Diamonds, 3 of Diamonds",15.8,2.6,81.7
"10 of Diamonds, 4 of Diamonds",16.8,2.8,80.4
"10 of Diamonds, 5 of Diamonds",16.2,2.9,80.9
"10 of Diamonds, 6 of Diamonds",18.3,2.8,78.9
"10 of Diamonds, 7 of Diamonds",19.0,2.8,78.2
"10 of Diamonds, 8 of Diamonds",21.3,2.7,76.0
"10 of Diamonds, 9 of Diamonds",21.1,2.4,76.5
"10 of Diamonds, J of Diamonds",24.4,2.8,72.8
"10 of Diamonds, Q of Diamonds",26.3,3.0,70.7
"10 of Diamonds, K of Diamonds",28.8,2.8,68.4
"10 of Diamonds, A of Diamonds",32.4,3.2,64.3
"J of Diamonds, 2 of Diamonds",17.5,2.5,80.0
"J of Diamonds, 3 of Diamonds",17.9,2.7,79.5
"J of Diamonds, 4 of Diamonds",17.8,2.8,79.4
"J of Diamonds, 5 of Diamonds",18.2,3.0,78.7
"J of Diamonds, 6 of Diamonds",18.3,2.9,78.8
"J of Diamonds, 7 of Diamonds",19.9,2.9,77.2
"J of Diamonds, 8 of Diamonds",20.9,3.0,76.1
"J of Diamonds, 9 of Diamonds",23.1,2.6,74.2
"J of Diamonds, 10 of Diamonds",24.3,2.8,72.9
"J of Diamonds, Q of Diamonds",25.3,2.5,72.2
"J of Diamonds, K of Diamonds",29.3,2.5,68.2
"J of Diamonds, A of Diamonds",33.2,2.6,64.1
"Q of Diamonds, 2 of Diamonds",21.1,3.2,75.8
"Q of Diamonds, 3 of Diamonds",21.1,2.7,76.2
"Q of Diamonds, 4 of Diamonds",20.3,3.4,76.3
"Q of Diamonds, 5 of Diamonds",20.2,2.9,77.0
"Q of Diamonds, 6 of Diamonds",20.9,3.2,75.9
"Q of Diamonds, 7 of Diamonds",21.0,2.9,76.2
"Q of Diamonds, 8 of Diamonds",22.4,3.0,74.6
"Q of Diamonds, 9 of Diamonds",24.2,2.7,73.1
"Q of Diamonds, 10 of Diamonds",26.3,2.5,71.1
"Q of Diamonds, J of Diamonds",26.1,2.3,71.6
"Q of Diamonds, K of Diamonds",30.1,2.4,67.5
"Q of Diamonds, A of Diamonds",33.9,2.5,63.6
"K of Diamonds, 2 of Diamonds",23.4,3.2,73.4
"K of Diamonds, 3 of Diamonds",23.5,3.1,73.4
"K of Diamonds, 4 of Diamonds",23.1,3.5,73.4
"K of Diamonds, 5 of Diamonds",23.2,3.6,73.2
"K of Diamonds, 6 of Diamonds",24.3,3.4,72.3
"K of Diamonds, 7 of Diamonds",24.5,3.1,72.4
"K of Diamonds, 8 of Diamonds",24.7,3.1,72.2
"K of Diamonds, 9 of Diamonds",26.8,2.8,70.4
"K of Diamonds, 10 of Diamonds",28.8,2.7,68.4
"K of Diamonds, J of Diamonds",29.1,2.6,68.2
"K of Diamonds, Q of Diamonds",30.3,2.3,67.4
"K of Diamonds, A of Diamonds",34.6,2.5,63.0
"A of Diamonds, 2 of Diamonds",29.7,4.0,66.2
"A of Diamonds, 3 of Diamonds",30.2,4.0,65.8
"A of Diamonds, 4 of Diamonds",29.0,4.5,66.6
"A of Diamonds, 5 of Diamonds",29.9,4.2,65.8
"A of Diamonds, 6 of Diamonds",29.6,4.2,66.2
"A of Diamonds, 7 of Diamonds",29.5,3.8,66.6
"A of Diamonds, 8 of Diamonds",31.2,3.5,65.2
"A of Diamonds, 9 of Diamonds",30.4,3.2,66.4
"A of Diamonds, 10 of Diamonds",32.1,3.2,64.7
"A of Diamonds, J of Diamonds",32.6,3.0,64.5
"A of Diamonds, Q of Diamonds",34.7,2.6,62.7
"A of Diamonds, K of Diamonds",35.5,2.2,62.2
